age,height_cm,weight_kg,activity_level,healthy
54,162,45.2,2,0
26,183,64.2,3,1
39,165,45.0,2,0
53,177,76.4,5,1
57,169,46.7,2,0
43,189,75.2,3,1
43,165,49.4,2,0
44,171,65.1,5,1
41,179,97.6,1,0
46,176,61.7,4,1
38,161,80.3,2,0
39,182,72.6,3,1
24,155,38.6,3,0
36,186,74.4,3,1
46,184,60.4,2,0
19,182,71.5,4,1
55,158,39.0,3,0
49,164,54.4,4,1
51,187,94.5,3,0
46,162,49.0,5,1
20,178,100.0,2,0
54,157,59.6,5,1
25,188,133.8,2,0
33,158,61.3,4,1
38,168,45.1,2,0
24,187,69.3,5,1
36,190,62.0,3,0
22,174,62.5,5,1
19,157,41.9,1,0
55,184,70.5,3,1
52,176,82.0,3,0
40,186,73.4,5,1
34,168,49.5,3,0
26,176,73.9,4,1
46,188,89.2,1,0
59,190,78.3,4,1
34,191,62.8,1,0
59,176,60.0,3,1
48,160,44.8,1,0
24,164,65.5,4,1
38,182,101.0,2,0
18,190,84.6,3,1
38,165,43.5,3,0
56,194,83.3,4,1
41,176,86.1,3,0
37,173,66.8,5,1
34,188,60.5,1,0
57,171,61.8,3,1
57,179,50.7,3,0
47,192,82.1,5,1
54,171,53.3,2,0
33,178,74.0,5,1
38,171,99.4,1,0
35,179,72.5,5,1
43,180,49.0,1,0
40,180,71.7,4,1
24,168,43.5,2,0
40,183,72.1,4,1
56,189,57.5,2,0
48,178,63.3,3,1
51,157,42.8,3,0
56,169,67.5,3,1
39,179,56.1,2,0
19,189,86.0,4,1
30,167,45.5,3,0
46,183,62.8,3,1
33,164,79.0,1,0
18,184,62.7,3,1
31,184,60.6,1,0
18,169,60.7,3,1
41,158,39.3,1,0
23,193,89.9,4,1
41,165,49.2,3,0
25,174,72.2,4,1
27,188,90.0,3,0
23,159,47.7,5,1
40,163,48.2,3,0
59,189,83.4,4,1
34,178,57.2,1,0
42,163,64.4,3,1
51,165,77.5,1,0
26,157,60.7,4,1
26,169,49.2,2,0
41,169,52.9,5,1
22,180,121.5,1,0
45,159,62.8,4,1
57,186,58.0,2,0
57,181,78.7,3,1
23,178,56.1,3,0
58,167,66.5,3,1
59,190,61.7,1,0
48,177,58.1,5,1
47,193,132.7,1,0
46,166,51.1,3,1
44,171,87.4,1,0
52,160,52.0,5,1
27,186,61.8,2,0
54,183,78.9,4,1
21,181,51.0,2,0
18,176,69.6,5,1
35,168,106.1,3,0
52,166,51.4,5,1
50,160,41.6,2,0
40,180,63.2,4,1
46,158,41.1,3,0
46,183,68.3,4,1
31,174,52.2,2,0
45,183,82.2,3,1
37,160,45.0,1,0
55,169,66.5,5,1
42,178,114.8,3,0
25,179,77.1,3,1
25,169,47.2,3,0
46,178,77.3,5,1
37,169,47.5,2,0
37,190,79.7,3,1
39,156,43.1,1,0
25,175,58.1,4,1
48,192,59.0,2,0
58,162,60.7,5,1
41,171,44.9,2,0
39,182,76.2,4,1
57,186,63.0,1,0
58,167,53.1,3,1
43,176,116.8,2,0
32,188,66.3,3,1
57,165,42.0,2,0
26,193,83.5,3,1
29,162,86.9,2,0
24,165,66.0,4,1
39,180,82.7,2,0
31,165,63.0,5,1
29,167,46.4,3,0
53,162,63.2,3,1
49,172,44.6,1,0
20,182,65.5,5,1
46,169,88.6,1,0
48,178,67.2,4,1
37,178,53.4,2,0
51,190,87.0,4,1
53,160,97.0,2,0
29,157,55.4,3,1
32,187,120.0,2,0
40,168,69.8,5,1
54,159,77.6,1,0
31,193,77.5,4,1
56,160,74.4,2,0
52,191,67.7,3,1
57,166,42.6,3,0
28,164,51.0,4,1
33,164,44.4,1,0
22,174,67.4,3,1
37,182,50.1,1,0
45,169,63.0,5,1
37,168,90.0,2,0
46,155,46.3,4,1
54,159,82.4,2,0
37,178,72.5,4,1
51,179,55.0,3,0
40,192,71.5,4,1
33,162,68.8,1,0
49,192,88.7,4,1
51,155,89.6,2,0
35,171,69.6,5,1
57,166,97.4,1,0
18,173,73.4,4,1
22,180,87.7,2,0
26,187,73.8,3,1
26,167,73.7,1,0
55,158,56.8,4,1
51,172,53.2,3,0
18,178,64.6,5,1
42,175,49.3,3,0
38,173,62.8,3,1
50,186,96.7,3,0
52,162,59.8,4,1
19,163,96.2,2,0
23,182,61.8,4,1
42,166,42.7,3,0
40,160,59.6,5,1
38,177,51.6,3,0
42,190,88.2,5,1
21,175,84.3,1,0
21,181,80.1,5,1
25,170,99.2,1,0
30,158,59.3,4,1
28,161,44.9,3,0
24,190,76.6,4,1
24,155,39.1,3,0
30,176,73.5,4,1
45,163,88.8,2,0
59,162,61.5,3,1
43,181,57.8,3,0
27,179,61.2,4,1
50,159,87.4,1,0
38,171,57.4,3,1
32,189,114.7,1,0
31,167,62.2,4,1
42,156,79.7,3,0
59,193,86.2,5,1
56,178,83.5,2,0
59,186,70.1,4,1
53,194,64.7,1,0
23,193,70.6,3,1
19,159,84.2,2,0
25,157,54.0,3,1
20,176,117.5,2,0
34,189,82.8,4,1
25,176,52.4,1,0
48,170,61.0,4,1
33,166,92.7,3,0
33,184,67.7,5,1
57,159,44.3,1,0
47,175,58.5,4,1
35,162,70.0,2,0
51,168,54.3,5,1
19,175,49.5,3,0
20,177,76.9,4,1
23,189,116.0,1,0
59,166,67.4,4,1
55,172,99.9,2,0
31,160,49.7,5,1
31,163,42.8,2,0
52,172,72.9,4,1
27,179,54.3,3,0
31,155,53.8,4,1
20,189,58.4,2,0
25,175,57.2,3,1
32,158,87.6,1,0
48,168,68.0,3,1
23,186,114.4,3,0
36,185,64.7,5,1
51,164,84.2,1,0
48,169,70.8,5,1
26,189,125.6,3,0
24,170,66.3,3,1
21,158,45.9,1,0
53,192,78.3,5,1
54,189,108.5,3,0
54,176,76.4,5,1
19,181,53.8,2,0
40,193,83.7,3,1
38,180,122.1,1,0
49,190,75.4,3,1
28,175,80.5,2,0
21,188,72.7,4,1
57,189,107.6,2,0
38,167,54.0,3,1
26,155,42.6,2,0
57,175,72.8,5,1
51,162,47.4,1,0
40,178,76.5,3,1
49,155,61.6,1,0
40,155,45.6,5,1
41,171,101.1,3,0
53,165,67.3,5,1
24,182,53.7,2,0
49,162,53.0,4,1
49,182,116.5,1,0
26,156,55.4,5,1
53,158,83.3,3,0
27,175,59.1,5,1
57,156,41.5,2,0
28,164,55.6,4,1
26,179,103.0,1,0
39,184,82.7,5,1
38,189,61.7,1,0
29,172,66.8,4,1
38,162,46.0,3,0
39,176,76.8,4,1
45,183,58.5,3,0
44,185,74.0,5,1
41,167,45.8,3,0
36,177,71.8,5,1
42,191,113.1,1,0
22,157,61.2,5,1
49,188,113.9,2,0
56,181,64.6,3,1
30,163,66.6,2,0
29,171,54.3,3,1
51,174,48.8,2,0
36,191,70.4,5,1
21,174,84.2,1,0
55,175,56.7,5,1
38,164,46.0,1,0
37,171,65.1,3,1
31,157,37.5,2,0
41,188,78.9,5,1
48,173,77.8,1,0
29,184,83.9,3,1
48,190,110.9,2,0
50,172,61.8,3,1
45,165,47.6,1,0
23,158,54.1,5,1
44,169,46.8,3,0
26,180,72.1,3,1
27,157,62.4,2,0
23,171,71.5,5,1
36,189,58.8,1,0
37,175,65.6,3,1
53,160,43.9,2,0
52,155,56.4,4,1
58,185,62.1,2,0
41,184,63.4,5,1
52,182,124.8,2,0
48,179,75.2,3,1
53,174,51.8,2,0
50,181,67.9,5,1
32,172,95.0,3,0
24,175,57.7,4,1
54,175,102.6,1,0
41,173,61.3,3,1
29,187,97.7,1,0
24,176,68.4,3,1
41,188,57.9,2,0
34,188,67.2,4,1
51,155,64.5,1,0
19,164,57.7,5,1
56,176,109.1,3,0
27,189,67.3,5,1
49,161,83.2,2,0
39,169,56.6,3,1
32,176,48.2,1,0
57,182,77.6,5,1
19,179,94.4,1,0
59,189,68.5,5,1
42,173,82.4,2,0
25,178,65.8,3,1
53,191,62.6,3,0
57,172,57.7,4,1
29,156,39.1,3,0
57,192,71.5,3,1
25,191,63.8,2,0
23,173,72.3,5,1
33,155,39.4,2,0
30,188,69.1,4,1
48,181,85.9,1,0
37,188,70.1,4,1
22,189,129.2,2,0
23,173,69.9,3,1
28,156,43.3,2,0
39,157,59.5,4,1
43,175,47.1,1,0
52,188,73.3,5,1
35,165,90.0,1,0
22,165,65.1,5,1
52,187,118.2,3,0
57,182,75.7,4,1
26,174,47.8,3,0
20,158,60.0,5,1
55,169,44.9,1,0
31,190,86.9,5,1
26,189,54.3,1,0
23,181,72.4,5,1
51,192,110.4,3,0
36,184,80.0,5,1
37,179,81.2,3,0
39,173,74.0,5,1
59,173,53.1,2,0
26,173,72.1,4,1
55,190,101.6,1,0
42,168,63.0,5,1
58,168,72.3,2,0
58,176,75.0,5,1
33,183,96.1,3,0
28,175,66.9,3,1
37,191,62.2,1,0
26,158,60.1,4,1
41,186,58.6,2,0
29,169,63.8,4,1
46,176,102.9,1,0
46,158,57.0,4,1
29,157,92.1,3,0
58,155,48.6,4,1
23,176,92.0,2,0
43,181,63.5,4,1
18,183,110.8,3,0
37,167,61.2,3,1
25,174,46.5,1,0
59,163,63.0,3,1
58,171,45.0,3,0
58,193,80.7,5,1
36,165,42.1,3,0
29,162,63.8,3,1
29,187,130.8,1,0
25,179,72.3,5,1
47,177,113.8,2,0
21,184,80.0,4,1
54,173,51.0,1,0
29,169,66.5,4,1
46,164,88.0,2,0
35,163,59.6,5,1
37,160,94.0,3,0
33,184,65.7,3,1
58,166,44.1,3,0
43,191,70.4,3,1
48,179,107.3,1,0
35,190,82.3,5,1
26,192,113.6,3,0
20,182,73.6,3,1
40,194,67.8,1,0
53,187,76.5,4,1
45,191,62.7,1,0
37,173,55.9,4,1
45,189,92.6,3,0
55,159,55.4,4,1
18,185,59.3,2,0
41,157,60.8,4,1
44,181,50.9,1,0
32,184,65.5,4,1
54,191,112.3,1,0
46,167,62.4,4,1
34,186,55.9,1,0
30,188,69.2,3,1
40,157,39.5,2,0
38,175,75.6,5,1
21,155,40.8,1,0
51,165,54.0,3,1
34,189,64.3,2,0
36,191,84.6,3,1
34,191,102.0,3,0
51,165,56.5,5,1
29,175,53.7,1,0
37,166,68.1,5,1
36,180,101.4,2,0
53,192,80.5,4,1
41,177,51.1,3,0
34,168,60.5,5,1
21,161,47.3,1,0
34,171,69.9,5,1
55,157,78.0,1,0
48,170,67.6,4,1
46,176,105.3,2,0
38,170,68.6,3,1
41,189,56.1,3,0
36,162,65.3,5,1
47,161,39.3,1,0
32,191,67.6,3,1
26,155,79.2,3,0
26,188,67.1,4,1
48,192,118.5,1,0
49,188,65.5,5,1
55,170,76.5,2,0
33,192,69.4,4,1
43,167,77.4,3,0
20,162,53.5,4,1
44,183,56.9,1,0
47,167,62.4,3,1
36,179,49.4,2,0
27,164,63.9,4,1
37,186,107.3,1,0
41,169,62.9,5,1
21,167,95.9,3,0
48,168,68.1,4,1
28,166,45.1,2,0
46,180,74.8,4,1
55,171,44.5,2,0
22,183,81.9,3,1
18,173,108.5,2,0
32,167,59.1,4,1
29,191,56.2,1,0
44,179,73.7,4,1
40,175,53.4,3,0
34,158,57.4,4,1
26,175,50.9,2,0
34,191,79.1,5,1
45,189,99.0,3,0
58,161,60.7,4,1
54,167,45.8,1,0
55,165,63.1,4,1
50,190,118.8,1,0
41,162,59.5,4,1
20,182,85.1,2,0
18,190,68.8,5,1
52,167,73.8,1,0
27,167,58.4,4,1
39,171,45.1,3,0
55,171,71.1,3,1
42,190,54.7,3,0
45,170,67.8,4,1
29,181,55.6,2,0
58,188,69.5,5,1
49,186,121.3,3,0
29,170,64.0,3,1
53,167,51.1,3,0
25,187,78.3,3,1
39,158,45.1,2,0
51,182,71.3,5,1
43,158,45.6,2,0
28,169,63.1,4,1
58,171,80.5,1,0
43,179,75.3,3,1
36,165,86.7,3,0
48,182,74.9,3,1
55,178,55.3,1,0
43,159,54.8,3,1
28,187,63.8,1,0
38,159,56.8,4,1
39,172,49.9,2,0
20,184,81.4,3,1
50,171,53.6,3,0
45,160,49.1,5,1
43,166,43.8,3,0
55,172,73.3,5,1
46,188,106.5,2,0
51,162,51.3,4,1
49,190,57.2,1,0
37,178,74.1,3,1
39,163,93.5,2,0
38,178,75.0,4,1
25,181,52.0,3,0
30,164,65.3,4,1
44,188,65.0,3,0
20,174,57.8,4,1
52,189,116.1,1,0
35,183,74.0,5,1
35,158,91.7,1,0
37,177,68.1,5,1
58,159,69.0,1,0
58,183,71.2,5,1
38,189,57.5,3,0
24,180,78.4,3,1
31,158,91.3,1,0
46,162,51.7,5,1
56,182,98.5,3,0
52,191,78.2,5,1
41,181,96.1,1,0
41,178,71.9,5,1
51,177,47.5,1,0
48,160,48.3,4,1
57,161,65.1,3,0
39,158,61.6,4,1
53,159,83.2,2,0
54,179,64.5,5,1
31,190,66.2,2,0
38,162,59.7,5,1
48,164,76.6,1,0
34,165,61.3,4,1
34,158,45.5,1,0
54,192,86.6,5,1
42,190,111.3,3,0
49,193,79.9,3,1
40,193,109.8,3,0
58,183,65.0,4,1
23,174,55.5,1,0
29,155,49.2,4,1
32,190,124.7,1,0
36,189,66.3,4,1
50,168,74.1,3,0
46,173,68.9,3,1
57,173,86.8,2,0
57,167,68.8,4,1
52,173,79.9,1,0
37,185,70.1,5,1
19,176,53.5,2,0
20,170,71.6,5,1
35,170,79.3,2,0
28,159,52.5,3,1
23,187,57.6,2,0
50,173,68.3,5,1
19,184,55.1,2,0
24,169,55.0,5,1
36,183,95.8,3,0
27,162,49.7,3,1
27,171,93.9,2,0
58,159,49.8,3,1
44,166,90.6,1,0
52,170,65.1,4,1
55,176,48.0,1,0
55,174,61.8,4,1
37,173,100.1,1,0
51,176,76.4,5,1
44,164,90.7,1,0
53,156,58.5,3,1
36,180,53.5,2,0
38,176,69.7,4,1
42,182,56.8,1,0
26,190,88.5,4,1
53,163,72.9,2,0
55,171,63.4,5,1
52,175,55.5,1,0
26,181,60.8,3,1
58,174,47.5,3,0
49,187,69.5,3,1
51,194,114.9,2,0
50,165,60.7,4,1
27,172,52.5,3,0
30,157,55.3,3,1
44,162,40.0,1,0
23,179,66.1,3,1
54,163,93.6,1,0
55,194,80.3,5,1
54,169,102.0,3,0
30,158,55.6,5,1
41,158,39.2,2,0
55,155,58.7,3,1
46,159,94.2,3,0
20,174,64.7,3,1
18,158,76.8,3,0
42,175,71.2,4,1
41,179,57.1,1,0
53,193,74.4,3,1
38,163,40.6,2,0
58,159,57.7,3,1
29,177,51.9,2,0
26,183,71.8,5,1
30,186,60.1,1,0
34,194,90.4,3,1
23,172,94.8,1,0
49,168,54.4,5,1
53,188,116.3,3,0
36,169,66.5,5,1
26,187,112.0,3,0
59,155,47.6,4,1
30,155,41.2,1,0
46,193,72.3,4,1
34,161,39.9,3,0
56,155,44.7,3,1
42,157,81.8,2,0
33,179,74.3,3,1
18,183,59.6,3,0
58,161,55.4,5,1
36,156,39.9,1,0
47,194,70.0,4,1
49,162,47.2,3,0
45,172,61.8,3,1
32,174,55.7,3,0
36,157,51.1,5,1
21,165,46.9,2,0
19,163,49.2,4,1
32,179,97.8,1,0
56,186,75.5,3,1
52,191,57.3,3,0
45,163,55.1,4,1
46,171,46.4,2,0
53,191,80.1,4,1
59,166,94.6,3,0
57,156,51.6,4,1
28,169,93.1,3,0
43,177,71.2,3,1
55,157,44.8,2,0
49,182,71.1,4,1
30,181,55.8,1,0
32,169,67.1,5,1
23,178,108.0,1,0
45,162,49.1,5,1
39,160,42.0,1,0
23,179,77.7,5,1
57,183,112.8,2,0
25,165,64.5,3,1
55,181,60.3,3,0
49,164,49.9,5,1
52,185,51.8,3,0
28,175,72.0,5,1
47,189,90.1,2,0
49,190,67.7,5,1
52,157,89.3,3,0
42,158,62.0,5,1
36,156,73.2,3,0
40,178,66.3,4,1
45,159,43.4,2,0
21,174,74.2,4,1
28,186,57.2,2,0
35,177,76.5,3,1
40,179,55.1,1,0
24,158,52.8,4,1
39,171,79.6,2,0
50,169,68.2,4,1
37,184,112.8,2,0
30,167,62.0,3,1
55,156,79.3,3,0
39,174,56.6,4,1
47,171,106.6,2,0
24,170,69.4,5,1
44,177,50.0,3,0
37,191,88.4,5,1
48,162,92.1,3,0
29,171,70.1,4,1
46,173,50.5,2,0
51,174,57.1,4,1
49,169,107.5,1,0
57,162,55.9,5,1
57,165,78.7,2,0
56,182,68.8,3,1
30,186,94.1,3,0
35,192,88.6,5,1
40,176,89.6,2,0
49,159,54.5,4,1
57,178,90.5,3,0
34,155,51.5,5,1
59,188,121.7,2,0
29,194,85.6,4,1
32,169,48.1,1,0
57,174,56.3,3,1
35,167,87.6,2,0
36,161,49.9,4,1
33,193,130.0,1,0
34,191,79.4,3,1
43,168,48.5,1,0
30,186,70.2,5,1
55,182,51.5,1,0
51,170,58.7,3,1
55,162,78.3,2,0
49,189,87.5,5,1
29,185,100.6,1,0
58,185,68.1,4,1
37,193,63.3,3,0
59,174,63.3,3,1
53,187,96.5,2,0
25,181,61.4,4,1
25,162,47.6,3,0
54,182,77.4,5,1
19,172,49.5,2,0
46,184,72.9,5,1
38,184,99.6,3,0
32,163,57.1,5,1
40,184,103.9,3,0
18,189,83.3,3,1
49,169,47.4,1,0
25,162,64.0,3,1
57,165,46.1,2,0
46,175,67.7,5,1
23,176,78.2,3,0
25,189,75.7,3,1
38,156,90.4,3,0
34,160,58.5,4,1
45,156,79.8,2,0
43,190,89.0,4,1
49,171,96.8,3,0
52,194,77.2,3,1
59,172,94.8,2,0
21,192,69.7,3,1
33,166,43.9,1,0
51,157,49.5,4,1
59,163,92.5,3,0
20,178,75.2,4,1
44,170,51.1,1,0
43,188,84.8,4,1
37,166,49.9,1,0
42,156,47.9,4,1
38,179,57.5,2,0
50,192,84.3,4,1
32,179,49.9,2,0
40,158,55.5,3,1
45,189,60.5,2,0
27,179,78.6,5,1
28,159,38.8,3,0
55,183,66.8,5,1
19,155,41.8,3,0
43,167,61.7,5,1
45,184,53.8,3,0
51,185,64.5,3,1
39,194,69.1,3,0
59,175,71.3,4,1
55,189,57.8,1,0
34,180,63.2,4,1
34,168,91.3,3,0
25,169,67.9,5,1
30,185,127.1,1,0
39,177,68.6,4,1
22,180,87.8,2,0
35,158,55.2,4,1
31,167,44.0,3,0
52,171,66.2,5,1
49,194,60.5,3,0
18,189,74.2,3,1
23,168,78.5,3,0
33,182,80.5,3,1
43,182,55.5,2,0
25,178,78.3,5,1
26,193,136.0,3,0
56,170,60.9,4,1
55,172,44.8,2,0
40,159,46.9,4,1
21,183,94.7,3,0
57,186,70.1,4,1
37,160,41.2,2,0
28,171,67.1,5,1
21,171,86.2,2,0
52,176,59.9,4,1
28,167,70.7,3,0
31,187,74.3,5,1
58,163,41.5,1,0
40,184,79.5,4,1
42,164,70.2,2,0
58,179,72.8,4,1
27,189,127.9,1,0
24,171,58.4,4,1
29,172,44.9,3,0
35,189,66.7,4,1
33,160,45.2,2,0
29,167,61.7,4,1
19,180,51.6,3,0
57,166,58.2,5,1
34,171,46.1,2,0
33,190,77.2,3,1
29,191,101.2,3,0
54,183,69.1,5,1
36,167,47.3,3,0
46,174,70.2,5,1
53,156,39.9,2,0
53,184,71.1,5,1
51,167,105.1,2,0
53,163,53.1,5,1
55,160,90.3,1,0
49,158,47.9,3,1
37,177,93.0,1,0
51,167,69.3,4,1
48,161,39.9,3,0
38,185,69.7,3,1
49,156,75.0,1,0
49,170,65.4,5,1
48,178,102.1,3,0
43,166,51.7,3,1
28,182,51.9,2,0
24,156,54.4,5,1
43,165,49.9,3,0
29,157,56.3,3,1
19,170,72.3,2,0
45,179,59.7,4,1
59,194,126.4,2,0
54,170,57.4,3,1
37,181,96.4,1,0
19,166,56.8,4,1
26,164,76.3,3,0
19,155,54.8,4,1
44,156,42.0,3,0
29,191,81.0,3,1
56,178,51.4,2,0
41,168,66.7,4,1
29,176,106.2,2,0
31,170,71.9,3,1
49,187,115.4,3,0
40,186,80.7,5,1
22,158,40.2,3,0
31,160,58.6,3,1
40,168,43.6,1,0
58,188,72.6,5,1
40,194,60.1,1,0
48,189,74.2,5,1
40,186,61.9,1,0
26,183,63.8,3,1
48,176,53.5,1,0
25,155,49.3,5,1
49,165,48.5,1,0
43,170,71.9,4,1
20,155,38.7,1,0
19,183,80.4,3,1
50,157,83.0,1,0
37,163,62.8,5,1
36,192,56.5,1,0
39,182,70.7,3,1
39,173,96.3,3,0
43,177,69.7,3,1
37,173,53.4,3,0
31,165,61.5,5,1
28,192,105.2,2,0
55,182,80.3,5,1
24,165,103.3,2,0
55,166,57.3,3,1
54,178,57.5,2,0
21,165,66.6,5,1
28,182,60.2,2,0
45,180,76.9,3,1
36,187,94.8,1,0
20,170,55.6,3,1
32,179,52.6,1,0
55,177,66.3,5,1
39,171,78.9,1,0
24,192,88.7,3,1
18,188,116.8,2,0
21,155,45.1,4,1
26,189,101.1,2,0
44,186,84.1,4,1
45,183,51.9,3,0
21,191,69.4,4,1
43,193,102.8,3,0
19,166,65.6,4,1
43,161,75.7,3,0
43,160,59.2,4,1
36,191,138.4,1,0
59,187,68.0,4,1
47,181,119.1,3,0
46,187,77.4,3,1
32,156,72.9,2,0
20,161,62.9,4,1
54,187,62.4,3,0
35,158,51.8,3,1
41,176,115.1,1,0
38,170,69.5,5,1
45,186,54.5,2,0
39,186,82.3,3,1
59,186,110.9,3,0
24,183,62.2,5,1
36,164,80.8,3,0
55,167,68.6,5,1
25,162,70.6,3,0
38,157,46.7,5,1
33,167,77.0,1,0
24,169,67.1,4,1
58,176,52.2,2,0
33,162,53.5,3,1
29,179,85.2,2,0
58,190,75.1,5,1
23,159,46.1,3,0
31,182,62.9,5,1
45,181,99.5,1,0
21,188,66.3,4,1
25,160,74.5,1,0
30,159,48.3,4,1
35,172,95.0,3,0
29,167,56.6,3,1
28,173,84.2,2,0
41,155,50.7,5,1
39,177,86.3,3,0
45,182,76.8,3,1
36,182,58.7,1,0
43,189,69.3,5,1
57,170,95.5,2,0
39,170,65.2,5,1
25,176,55.7,1,0
18,160,53.2,5,1
40,186,56.1,3,0
50,175,65.9,5,1
44,172,45.1,2,0
24,174,69.6,5,1
26,185,53.6,1,0
40,174,61.1,3,1
45,171,80.0,2,0
58,160,62.2,3,1
55,160,83.5,3,0
52,187,66.7,4,1
41,189,64.5,1,0
51,179,65.8,3,1
36,177,51.6,1,0
18,173,58.5,5,1
35,188,58.3,2,0
23,186,82.4,5,1
56,185,108.6,2,0
41,163,59.4,5,1
57,163,42.6,3,0
52,159,54.2,5,1
35,156,43.3,2,0
48,162,59.3,5,1
26,184,53.7,2,0
30,190,78.3,3,1
27,163,77.2,3,0
56,194,89.0,3,1
40,183,53.7,3,0
42,185,84.5,5,1
34,156,74.4,2,0
23,157,50.5,4,1
28,174,53.1,3,0
33,178,75.3,5,1
42,189,97.8,3,0
47,173,70.5,5,1
57,162,40.1,2,0
34,167,67.1,4,1
51,190,56.0,2,0
46,179,60.4,4,1
41,165,72.3,3,0
28,192,68.3,5,1
